Year,State,Adoption Total,Returned To Owner Total,Returned To Field Total,Transferred Out Total,Other Live Outcome Total,Others,Animal Type
2022,Texas,58982,16322,59,31348,3451,19862,Canine
2019,Utah,9130,6199,0,1376,321,5392,Canine
2020,Utah,6815,4254,13,1810,219,3646,Canine
2021,Utah,6933,4523,0,2016,347,4060,Canine
2022,Utah,6465,4261,0,1682,363,5004,Canine
2019,Virginia,11074,3751,1,1805,29,4258,Canine
2020,Virginia,9748,2876,0,1620,0,2624,Canine
2021,Virginia,8731,2970,0,1846,0,3080,Canine
2022,Virginia,9208,3476,0,1841,0,3466,Canine
2019,Vermont,856,200,0,22,0,512,Canine
2020,Vermont,539,144,0,10,0,402,Canine
2021,Vermont,532,137,0,7,0,588,Canine
2022,Vermont,576,123,0,35,1,272,Canine
2019,Washington,21329,7609,1,2372,1,10418,Canine
2020,Washington,12220,5615,1,1525,2,7104,Canine
2021,Washington,17960,6082,1,1391,35,7862,Canine
2022,Washington,14647,5745,1,1644,70,8830,Canine
2019,Wisconsin,8432,4815,0,1160,83,6966,Canine
2020,Wisconsin,8590,4223,0,669,66,5370,Canine
2021,Wisconsin,7733,4591,0,540,253,5392,Canine
2022,Wisconsin,8022,4568,1,1102,409,5168,Canine
2019,West Virginia,1941,697,2,2474,0,2822,Canine
2020,West Virginia,1899,785,1,2122,2,1136,Canine
2021,West Virginia,2030,795,0,1957,0,990,Canine
2022,West Virginia,2025,671,0,1577,2,1296,Canine
2019,Wyoming,1975,1467,1,114,752,1248,Canine
2020,Wyoming,1662,1024,0,57,397,580,Canine
2021,Wyoming,1510,960,0,59,398,492,Canine
2022,Wyoming,1588,881,0,93,5,428,Canine
