Year,State,Relinquished By Owner Total,Stray At Large Total,Transferred In Total,Owner Intended Euthanasia Total,Other Intakes Total,Animal Type
2021,Colorado,9783,14305,7242,541,2629,Canine
2022,Colorado,10668,16122,5641,658,2859,Canine
2019,Connecticut,379,284,1586,152,161,Canine
2020,Connecticut,232,221,1012,97,96,Canine
2021,Connecticut,303,229,522,165,492,Canine
2022,Connecticut,350,304,508,213,383,Canine
2019,Delaware,201,87,203,0,0,Canine
2020,Delaware,140,59,239,0,0,Canine
2021,Delaware,137,53,362,0,1,Canine
2022,Delaware,134,44,279,0,1,Canine
2019,Florida,16545,23150,13234,4298,5246,Canine
2020,Florida,12083,17903,11362,2858,4898,Canine
2021,Florida,13809,19338,10541,2651,5974,Canine
2022,Florida,13726,19531,8585,2047,5227,Canine
2019,Georgia,10793,16107,10721,192,5873,Canine
2020,Georgia,8479,11619,7528,189,4665,Canine
2021,Georgia,9502,12926,6941,161,5116,Canine
2022,Georgia,8556,14161,6671,235,3753,Canine
2019,Hawaii,3549,5862,251,96,107,Canine
2020,Hawaii,2370,4085,357,406,63,Canine
2021,Hawaii,2571,4433,203,620,62,Canine
2022,Hawaii,2873,5508,137,686,53,Canine
2019,Iowa,3079,3660,1340,589,1588,Canine
2020,Iowa,2502,3314,1568,569,686,Canine
2021,Iowa,3594,3592,1865,548,725,Canine
2022,Iowa,3620,3901,1712,7,1050,Canine
2019,Idaho,3658,8329,2224,426,1135,Canine
2020,Idaho,3112,6472,1745,384,866,Canine
2021,Idaho,3256,7031,1672,371,743,Canine
2022,Idaho,2895,7055,1853,275,2199,Canine
2019,Illinois,4914,3287,11461,250,753,Canine
2020,Illinois,4066,2153,12355,211,624,Canine
2021,Illinois,4875,2475,10743,230,799,Canine
2022,Illinois,4917,3316,11039,380,1185,Canine
2019,Indiana,8101,14357,3812,859,3136,Canine
2020,Indiana,5323,10299,2558,673,2280,Canine
2021,Indiana,6326,11313,3099,870,2492,Canine
2022,Indiana,6971,11729,2768,891,2423,Canine
2019,Kansas,4027,5407,4198,586,122,Canine
2020,Kansas,2678,3502,3223,473,99,Canine
2021,Kansas,3106,3116,3334,569,1124,Canine
2022,Kansas,2882,3716,4120,502,574,Canine
2019,Kentucky,5890,9384,4699,136,898,Canine
2020,Kentucky,5405,7006,3117,136,1160,Canine
2021,Kentucky,5899,7624,2872,157,1065,Canine
2022,Kentucky,5823,8306,2722,176,1170,Canine
2019,Louisiana,5391,9949,3025,454,5056,Canine
2020,Louisiana,3284,7674,2990,428,3014,Canine
2021,Louisiana,4545,11208,2256,598,1870,Canine
2022,Louisiana,3831,11193,1390,601,1474,Canine
2019,Massachusetts,1758,657,1664,693,1472,Canine
2020,Massachusetts,1096,632,1245,549,1167,Canine
2021,Massachusetts,1030,473,1332,481,1044,Canine
2022,Massachusetts,1127,455,1324,573,752,Canine
2019,Maryland,2960,3915,1528,546,1542,Canine
2020,Maryland,2377,2688,1177,441,892,Canine
2021,Maryland,2666,2928,1071,479,1219,Canine
2022,Maryland,3200,4005,949,603,1495,Canine
2019,Maine,566,576,1599,31,32,Canine
2020,Maine,320,435,824,24,33,Canine
2021,Maine,367,287,827,31,190,Canine
2022,Maine,478,382,983,12,102,Canine
2019,Michigan,6196,9931,7322,2624,1676,Canine
2020,Michigan,4311,7106,6048,1603,1787,Canine
2021,Michigan,5208,8442,6823,1716,1171,Canine
2022,Michigan,5041,10475,4928,1600,1539,Canine
2019,Minnesota,1391,2015,2285,40,758,Canine
2020,Minnesota,1442,1369,2987,30,557,Canine
2021,Minnesota,1272,1379,2687,27,636,Canine
2022,Minnesota,1356,1815,2633,36,605,Canine
2019,Missouri,4198,7577,1559,19,4662,Canine
2020,Missouri,4742,6534,1284,20,4271,Canine
2021,Missouri,4726,5324,1385,14,6603,Canine
2022,Missouri,4754,6398,960,13,7933,Canine
2019,Mississippi,4797,6137,3750,234,317,Canine
2020,Mississippi,3801,5345,2839,180,366,Canine
2021,Mississippi,3565,5512,3184,117,250,Canine
2022,Mississippi,3177,4760,2492,104,198,Canine
2019,Montana,2005,3366,1085,73,407,Canine
2020,Montana,1574,2632,595,49,401,Canine
2021,Montana,1657,2492,760,65,1035,Canine
2022,Montana,1975,2884,647,60,961,Canine
2019,North Carolina,12459,17351,11669,681,4235,Canine
2020,North Carolina,8008,12528,10405,542,3654,Canine
2021,North Carolina,9195,13799,10815,561,3065,Canine
2022,North Carolina,9413,16091,9266,706,3077,Canine
2019,North Dakota,582,675,187,19,350,Canine
2020,North Dakota,537,559,334,13,333,Canine
2021,North Dakota,478,553,446,4,412,Canine
2022,North Dakota,534,754,490,0,371,Canine
2019,Nebraska,1121,2159,557,0,328,Canine
2020,Nebraska,939,1782,828,1,303,Canine
2021,Nebraska,983,2067,531,3,288,Canine
2022,Nebraska,1239,2114,428,2,347,Canine
2019,New Hampshire,800,667,1286,27,150,Canine
2020,New Hampshire,418,470,1074,25,95,Canine
2021,New Hampshire,365,370,1018,29,271,Canine
2022,New Hampshire,473,425,781,39,199,Canine
2019,New Jersey,1770,3404,6915,34,535,Canine
2020,New Jersey,1311,2376,6712,18,561,Canine
2021,New Jersey,1484,2712,5189,28,742,Canine
2022,New Jersey,1373,3436,4380,13,713,Canine
2019,New Mexico,5496,8732,636,361,4929,Canine
2020,New Mexico,4008,7022,346,458,3220,Canine
2021,New Mexico,3730,9927,900,365,1818,Canine
2022,New Mexico,2931,10519,131,580,2570,Canine
2019,Nevada,3773,11878,1361,2161,2795,Canine
2020,Nevada,1966,7584,1096,2253,1860,Canine
2021,Nevada,2254,8827,938,1567,2254,Canine
2022,Nevada,3038,9352,1323,933,2640,Canine
2019,New York,7325,7500,6784,2148,1356,Canine
2020,New York,4675,5076,4862,1864,1018,Canine
2021,New York,4933,4773,5144,1129,1411,Canine
2022,New York,5593,4762,4710,1312,1513,Canine
2019,Ohio,3760,5216,6284,311,2256,Canine
2020,Ohio,2937,3530,5549,227,862,Canine
2021,Ohio,3142,4235,6076,185,1535,Canine
2022,Ohio,3552,4965,5600,240,1614,Canine
2019,Oklahoma,1565,3672,3115,8,451,Canine
2020,Oklahoma,1524,2987,2407,32,315,Canine
2021,Oklahoma,1564,2330,2376,39,1150,Canine
2022,Oklahoma,1512,2152,2279,91,917,Canine
2019,Oregon,3908,3303,5441,623,707,Canine
2020,Oregon,2600,2560,2865,520,558,Canine
2021,Oregon,2546,2482,2694,557,769,Canine
2022,Oregon,2681,3289,3607,472,738,Canine
2019,Pennsylvania,3494,3297,5152,760,2401,Canine
2020,Pennsylvania,3118,2610,5239,675,1418,Canine
2021,Pennsylvania,2876,2944,4699,637,1199,Canine
2022,Pennsylvania,3091,3588,4703,344,1045,Canine
2019,Rhode Island,588,695,1208,102,232,Canine
2020,Rhode Island,531,437,1109,37,197,Canine
2021,Rhode Island,676,443,1067,11,168,Canine
2022,Rhode Island,741,563,963,22,199,Canine
2019,South Carolina,4964,14515,4678,242,1233,Canine
2020,South Carolina,4551,11213,3431,207,995,Canine
2021,South Carolina,5066,11462,3379,128,1135,Canine
2022,South Carolina,5496,12944,2845,195,1563,Canine
2019,South Dakota,264,202,109,2,7,Canine
2020,South Dakota,326,93,60,0,13,Canine
